,artist_name,track_name
23600,the kingston trio,away rio
4312,selena,i could fall in love
15974,graveyard,evil ways
4398,céline dion,(you make me feel like) a natural woman
22869,sublime with rome,only
5910,kid cudi,maniac
17454,dean martin,good mornin' life
23302,damian marley,the struggle discontinues
1541,wings,wild life
22674,john brown's body,so aware
23582,elvis presley,give me the right
10272,roger miller,you can't roller skate in a buffalo herd
10653,vince gill,whenever you come around
26977,the kooks,sweet emotion
26523,iration,wait and see
10198,mark chesnutt,too good a memory
7877,willie nelson,go on home
24973,david bowie,as the world falls down
19240,the meters,i need more time
26277,collective soul,better now
1292,melanie,close to it all
16476,tyler bryant & the shakedown,downtown tonight
22344,easy star all-stars,money
11471,kyle park,yours and mine
27305,yungblud,anarchist
14216,the cramps,primitive
3272,the smithereens,blood and roses
2011,perry como,it's impossible
7498,patsy cline,you were only fooling (while i was falling in love)
13444,deep purple,child in time
21903,julian marley,lion in the jungle
2868,electric light orchestra,secret messages
7374,ray price,the old rugged cross
11177,faron young,if you ain't lovin' (you ain't livin')
4079,ace of base,don't turn around
27870,bone thugs-n-harmony,everyday thugs
23171,hirie,i wanna be
11648,eilen jewell,high shelf booze
18528,bob james,unicorn
16994,joe bonamassa,self-inflicted wounds
13527,j.j. cale,changes
1937,jim stafford,swamp witch
19039,nat king cole,straighten up and fly right
22451,slightly stoopid,this joint
18851,hiroshima,why can't i love you
1548,jr. walker & the all stars,walk in the night
12719,ella fitzgerald,bess you is my woman now
12076,luke bryan,blood brothers
18692,ray vega,birks' works
16785,jamie n commons,glory
2027,kansas,all the world
1906,neil diamond,stones
11245,silver jews,i remember me
1525,laura nyro,the bells
5680,hollywood undead,young
2879,spandau ballet,true
9048,dan fogelberg,face the fire
25713,tool,ænema
15813,susan tedeschi,loving you is sweeter than ever
15705,heartless bastards,my maker
26264,muse,blackout
3875,a tribe called quest,everything is fair
8666,willie nelson,(how will i know) i'm falling in love again
2328,poco,heart of the night
13513,al green,"are you lonely for me, baby"
6654,future,wicked
5960,kesha,blah blah blah (feat. 3oh!3)
25566,nine inch nails,reptile
19373,brad mehldau,ron's place
8705,head east,lovin' me along
17000,curtis salgado,i want my dog to live longer (the greatest wish)
13059,al kooper,i stand alone
13603,free,come together in the morning
13069,aretha franklin,every little bit hurts
17027,blues saraceno,devils got you beat
3067,talk talk,it's my life
13068,irma thomas,i've been there
16971,ella fitzgerald,glad to be unhappy
12630,ella fitzgerald,dream a little dream of me
12605,sister rosetta tharpe,when they ring the golden bell
482,bobby vee,rubber ball
25127,don mclean,crying
11205,otis taylor,resurrection blues
3456,k.d. lang,i'm down to my last cigarette
10054,baillie & the boys,(wish i had a) heart of stone
27937,timbaland & magoo,drop
21964,luciano,never give up my pride
4328,jodeci,freek'n you
24346,led zeppelin,carouselambra
17604,bing crosby,silent night
16862,the black angels,comanche moon
15205,popa chubby,sweat
3806,pennywise,rules
5129,pet shop boys,always on my mind
6840,avicii,without you (feat. sandro cavazza)
13668,the dells,love is missing from our lives
19614,charlie hunter,creole
13205,john mayall & the bluesbreakers,it ain't right
14195,whitesnake,till the day i die
24594,vandenberg,burning heart
12764,ella fitzgerald,a woman is a sometime thing
16237,the duprees,the sky's the limit
2741,bad religion,yesterday
23668,the beatles,tell me why
19608,wayman tisdale,when i opened up my eyes
1958,al stewart,sirens of titan
17501,sun ra,but not for me
20914,taylor mcferrin,so cold in the summer
8265,merle haggard,silver wings
26321,(hed) p.e.,raise hell
19285,marc antoine,latin quarter
1392,bob dylan,to be alone with you
18268,michael franks,monkey see-monkey do
10560,collin raye,a bible and a bus ticket home
25847,placebo,every you every me
23908,david bowie,quicksand
21955,burning spear,marcus say jah no dead
14221,the gun club,preaching the blues
13904,ted nugent,"workin' hard, playin' hard"
14303,whitesnake,victim of love
21509,jah shaka,school of dub
25878,incubus,out from under
1664,labi siffre,"crying, laughing, loving, lying"
27577,slim thug,diamonds
20221,the dear hunter,what it means to be alone
17927,wishbone ash,handy
4860,papa roach,blood brothers
23295,311,hey yo
16274,the blackwater fever,the blackwater fever
28318,black rob,i love you baby
9628,vern gosdin,stone cold heart
13709,"bobby ""blue"" bland",i pity the fool
20967,alton ellis,breaking up
26719,fleet foxes,battery kinzie
24667,genesis,second home by the sea
1968,michael jackson,you are there
12565,billie holiday,deep song
5893,rihanna,california king bed
20746,yazmin lacey,marie
7775,ray price,born to lose
14710,alice cooper,gail
14413,robert cray,where do i go from here
8804,crystal gayle,ready for the times to get better
10325,tanya tucker,if your heart ain't busy tonight
9604,ronnie milsap,i might have said
6625,jon bellion,hand of god
14911,joe walsh,alphabetical order
11118,lee ann womack,the healing kind
25244,primus,too many puppies
2528,neil diamond,america
12210,miranda lambert,smoking jacket
10958,gary allan,i've got a quarter in my pocket
9264,dan fogelberg,only the heart may know
20969,the heptones,in love with you
7385,don gibson,above and beyond
17211,oscar peterson,bill
2124,judy collins,bread and roses
11086,faith hill,it will be me
5126,afi,dancing through sunday
618,roy orbison,the crowd
16138,the flying eyes,bad blood
5023,coldplay,politik
12892,champion jack dupree,ain't that a shame
16270,the black angels,the sniper
17264,rosemary clooney,mandy
14440,james cotton,diggin' my potatoes
15110,sonic youth,androgynous mind
12370,cale dodds,what we gonna do about it
16068,the black keys,lies
21279,mikey dread,props-man style
20041,jane monheit,a time for love
18693,diane schuur,teach me tonight
16103,peggy scott-adams,"part time lover, full time fool"
11637,josh turner,nowhere fast
19873,herbie mann,one note samba
2164,glen campbell,god only knows
6026,jesse & joy,la de la mala suerte
10468,don williams,lone star state of mind
308,connie francis,i have but one heart
10633,vince gill,maybe tonight
2395,bette midler,when a man loves a woman
16699,all them witches,open passageways
21348,culture,elijah
9635,george strait,the cowboy rides away
15715,glen glenn,"dim lights, thick smoke and loud loud music"
12799,ella fitzgerald,strike up the band
15555,phish,friday
5163,blu cantrell,hit 'em up style (oops!)
2532,dexys midnight runners,there there my dear
4388,outkast,e.t. (extraterrestrial)
14091,nazareth,talkin' 'bout love
4341,green day,stuck with me
5118,dave matthews,gravedigger
19766,richard bona,kalabancoro
20121,eric darius,goin' all out
25393,beastie boys,jimmy james
5041,avril lavigne,i'm with you
7552,george jones,multiply the heartaches
20738,leaf beach,warm brew
20634,badbadnotgood,ray gun
23013,iration,home
21056,prince buster,big five
7932,david houston,from a jack to a king
15389,the earls,remember then
22433,mike pinto,a thousand years ago
14262,the saints,follow the leader
23395,sensi trails,she love
13014,ella fitzgerald,into each life some rain must fall
24479,the police,one world (not three)
9288,chris ledoux,so you want to be a cowboy
15033,blind willie johnson,i know his blood can make me whole
4707,creed,what if
17254,doris day,"ready, willing and able"
12401,cole swindell,somebody's been drinkin'
26513,tame impala,slide through my fingers
23454,ray campi,the crossing
25140,van halen,feels so good
20495,swingrowers,the queen of swing
12888,nina simone,in the evening by the moonlight
27649,night shield,the night away
188,frankie lymon,diana
9503,little river band,no more tears
6584,duke dumont,ocean drive
13670,ufo,give her the gun
7509,george jones,a house without love
20711,freddie hubbard,the things we did last summer
21448,whispering lion,you ain't cool
26374,priestess,lay down
23675,the who,the good's gone
676,bob dylan,masters of war
8476,bobby bare,music city usa
23572,the kingston trio,coast of california
13811,warren haynes,do you feel like we do
6649,panic! at the disco,impossible year
3552,bad religion,i want something more
11592,chris knight,cry lonely
28259,tha alkaholiks,only when i'm drunk
18155,minnie riperton,seeing you this way
3623,van morrison,these are the days
7484,willie nelson,funny how time slips away
7652,don gibson,do you know my jesus
27599,mobb deep,out of control
1282,gary puckett & the union gap,"woman, woman"
26640,rob zombie,sick bubblegum
15226,aretha franklin,can't you just see me
20795,thievery corporation,strike the root
8333,conway twitty,hello darlin'
12156,corey smith,bend
14953,marvin sease,it's too late
21561,bunny wailer,get up stand up
7832,johnny cash,danny boy
14705,b.b. king,joe cool
6095,will reagan,set a fire
21177,the ethiopians,i love jah
12894,bo diddley,bo diddley is a lover
3474,johnny hates jazz,shattered dreams
25462,the cure,to wish impossible things
1637,yoko ono,"sisters, o sisters"
7260,brownie mcghee,walking blues
6958,cardi b,ring (feat. kehlani)
3415,sinéad o'connor,i want your (hands on me)
16282,tucka,moanin'
27076,a great big world,kaleidoscope
5869,lil wayne,bill gates
8439,the band,loving you is sweeter than ever
18746,allan holdsworth,metal fatigue
7640,george hamilton iv,china doll
18085,george benson,when love has grown
24946,queen,one year of love
19277,cassandra wilson,until
13541,uriah heep,circle of hands
14290,alice cooper,i better be good
21565,wailing souls,full moon
4208,da brat,funkdafied
1455,bob dylan,annie's going to sing her song
9747,johnny cash,i'm leaving now
11889,jamey johnson,this time
20668,mndsgn,guess it’s all over
16146,joe cocker,something to say
14704,rory gallagher,i ain't no saint
12358,adam calhoun,racism
20564,dean martin,senza fine
9123,the fabulous thunderbirds,scratch my back
8099,waylon jennings,the road
20286,ry cooder & v.m. bhatt,ganges delta blues
4476,nofx,it's my job to keep punk rock elite
11195,hot tuna,alumni blues (hot tuna)
21728,black uhuru,freedom fighter
19338,bing crosby,let me call you sweetheart
12008,aaron lewis,party in hell
21058,the upsetters,move me
14718,koko taylor,i don't care who knows
17785,dean martin,it's the talk of the town
21654,cocoa tea,keep on doing it
10734,aaron tippin,that's as close as i'll get to loving you
25777,metallica,the memory remains
4906,the shins,caring is creepy
14084,alice cooper,model citizen
5494,josé gonzález,heartbeats
14252,bonnie raitt,i can't help myself
8825,warren zevon,i'll sleep when i'm dead
21525,black uhuru,uptown dub
11606,old crow medicine show,my good gal
11812,blake shelton,all about tonight
20924,henace,at dizzy's
17609,bing crosby,swinging on a star
2085,dr. hook,what about you
1158,the beach boys,country air
14674,chuck berry,i'm through with love
26731,mother mother,the stand
12114,nashville cast,black roses
95,the platters,i give you my word
19416,pete rock,one life to live (feat. mc eiht)
22024,311,inner light spectrum
16905,dorothy,on my knees
18397,willie bobo,fairy tales for two
25003,slayer,criminally insane
10356,collin raye,open arms
23901,paul mccartney,smile away
11929,cody johnson,there's you
7305,george jones,take the devil out of me
13224,nina simone,keeper of the flame
17547,dean martin,bella bella bambina
239,johnny mathis,embraceable you
2569,randy crawford,one day i'll fly away
5747,kolohe kai,dream girl
21557,tenor saw,roll call
19470,michael franks,every time she whispers
7910,hank snow,my religion's not old-fashioned (but it's real genuine)
19308,jamiroquai,hollywood swinging
28323,prodigy,keep it thoro
6143,travis porter,bring it back
21772,maxi priest,promises
3869,the sugarcubes,hit
20551,slowy,showdown
10458,hank williams,with tears in my eyes
5886,the tallest man on earth,love is all
14547,george thorogood & the destroyers,willie and the hand jive
23008,the green,count to 3
13151,the sonics,boss hoss
10351,tracy lawrence,today's lonely fool
27171,mild high club,homage
11156,aaron tippin,kiss this
1276,nancy sinatra,summer wine
527,dion,havin' fun
15460,doyle bramhall ii,life
19460,diana krall,devil may care
27035,smallpools,killer whales
25234,megadeth,poison was the cure
18704,al jarreau,fallin'
10219,alan jackson,i'd love you all over again
12158,william clark green,sticks and stones
20686,the dear hunter,the fire (remains)
263,johnny mathis,when i fall in love
4913,puddle of mudd,drift and die
15904,the derek trucks band,sailing on
23110,xavier rudd,nanna
25144,suicidal tendencies,how will i laugh tomorrow
9434,"hank williams, jr.",i can't change my tune
21605,ini kamoze,hole in the pumpkin
6409,american authors,best day of my life
11549,no justice,don't walk away
18013,donny hathaway,take a love song
46,los hermanos arriagada,poema
11763,ryan bingham,endless ways
10406,kathy mattea,lonesome standard time
14785,alice cooper,hey stoopid
4797,the smashing pumpkins,the everlasting gaze
4992,bad religion,supersonic
22690,ali campbell,out from under
11499,kenny chesney,who you'd be today
5571,t-pain,church
11859,the lacs,me and my boys (feat. jb and the moonshine band)
3299,electric light orchestra,getting to the point
14817,the cramps,the creature from the black leather lagoon
3019,violent femmes,jesus walking on the water
26992,foster the people,nevermind
17896,nina simone,who am i?
16484,samantha fish,miles to go
24792,twisted sister,the beast
8203,willie nelson,a wonderful yesterday
4464,cake,nugget
14062,blue öyster cult,you're not the one (i was looking for)
1239,the moody blues,what am i doing here?
24551,stevie nicks,kind of woman
5531,mika,happy ending
8543,dolly parton,down on music row
12329,old dominion,hotel key
16528,buddy guy,one day away
15750,eagles of death metal,miss alissa
2230,peter gabriel,down the dolce vita
324,ricky nelson,it's all in the game
4137,portishead,biscuit
942,the righteous brothers,unchained melody
11501,randy rogers band,an empty glass (that's the way the day ends)
16635,all them witches,call me star
16859,dan auerbach,stand by my girl
5086,fall out boy,the patron saint of liars and fakes
10186,uncle tupelo,that year
6294,partynextdoor,break from toronto
15852,the orioles,crying in the chapel
1970,paul anka,(i believe) there's nothing stronger than our love
4649,less than jake,history of a boring town
4704,nas,hate me now (feat. puff daddy)
119,eddie cochran,sittin' in the balcony
2491,kate bush,breathing
5436,thom yorke,black swan
11397,trace adkins,welcome to hell
7595,eddy arnold,carry me back to the lone prairie
22339,slightly stoopid,wicked rebel
22983,vybz kartel,punani a mi best friend
12496,louis prima,one mint julep
370,frankie avalon,bobby sox to stockings
12336,mike ryan,the rewrite
11394,josh turner,the difference between a woman and a man
28170,ultramagnetic mc's,"ego trippin' (12"" version)"
25635,alice in chains,frogs
10364,the jayhawks,settled down like rain
8440,waylon jennings,dreaming my dreams with you
13544,humble pie,old time feelin'
26768,katy mcallister,another empty bottle
8015,johnny cash,the walls of a prison
26721,stevie nicks,landslide
21645,kofi,do you really want me
26325,bloodhound gang,foxtrot uniform charlie kilo
21306,wailing souls,act of affection
16045,gary moore,trouble ain't far behind
6670,grupo maximo grado,el hombre del equipo
28315,das efx,jussummen
5283,regina spektor,us
10121,the charlie daniels band,old rock 'n roller
733,lesley gore,no more tears
1304,nancy sinatra,greenwich village folk song salesman
18454,"grover washington, jr.",be mine (tonight) (feat. grady tate)
26037,four tops,it's the same old song
17551,judy garland,alone together
22141,long beach dub allstars,kick down
6426,bahamas,all the time
20906,vera lynn,besame mucho (kiss me)
11066,steve earle,carrie brown
16419,jack white,weep themselves to sleep
22639,mungo's hi fi,herbalist
25010,misfits,london dungeon
22152,morgan heritage,buss up barriers
13002,bukka white,poor boy long ways from home
20679,don philippe,the world connects
21036,dennis brown,make it with you
20287,tesseract,eden
25247,ratt,shame shame shame
15333,shemekia copeland,married to the blues
8211,merle haggard,i'm free
8261,al kooper,lookin' for a home
4383,swv,use your heart
9209,don williams,i keep putting off getting over you
5653,lil wayne,shoot me down
15530,death from above 1979,my love is shared
18457,donny hathaway,sack full of dreams
22612,tomorrows bad seeds,early prayers
22317,jimmy cliff,waterfall
19553,kirk whalum,now 'til forever
7892,george jones,that heart belongs to me
6192,miguel,how many drinks?
10705,aaron tippin,how's the radio know
17621,michel legrand,sans toi
8632,roger miller,my uncle used to love me but she died
20437,boney james,you can count on me
11738,carrie underwood,change
11342,phil vassar,this is god
12489,the ravens,gotta find my baby
17293,louis armstrong,blue turning grey over you
19244,meshuggah,suffer in truth
11727,randy houser,anything goes
9193,38 special,throw out the line
4871,ben folds,annie waits
23364,govana,better than that
13259,jimi hendrix,can you see me
26815,mumford & sons,not with haste
7045,lefty frizzell,look what thoughts will do
5061,starland vocal band,afternoon delight
13358,john mayall,can't sleep this night
20532,mel tormé,"top hat, white tie and tales"
454,bobby darin,the more i see you
18022,roy ayers ubiquity,sweet tears
14473,whitesnake,love ain't no stranger
5837,john mayer,all we ever do is say goodbye
4330,collective soul,the world i know
1246,the byrds,you're still on my mind
5463,rise against,injection
2999,minutemen,theatre is the life of you
14018,robben ford,there's no one else
14933,mississippi john hurt,first shot missed him
16554,joe bonamassa,oh beautiful!
10874,wayne hancock,johnny law
10062,patty loveless,don't toss us away
8505,little feat,easy to slip
22691,hours eastly,let them burn
8327,charlie rich,i can't even drink it away
1988,indigo girls,i don't wanna talk about it
17491,dean martin,dream a little dream
24106,john lennon,stand by me
5768,lil scrappy,no problem
36,les paul,the world is waiting for the sunrise
23935,bee gees,how can you mend a broken heart
24391,the clash,somebody got murdered
22545,michael franti & spearhead,one step closer to you
26343,audioslave,be yourself
21548,sumo,crua chan
25986,kittie,spit
20549,nubiyan twist,figure numatic
22705,echo movement,all night
24067,chicago,happy man
10015,nanci griffith,once in a very blue moon
14878,traveling wilburys,if you belonged to me
2135,donna summer,summer fever
15355,gov't mule,towering fool
23723,the who,"a quick one, while he's away"
9602,larry gatlin & the gatlin brothers,she used to be somebody's baby
27168,metallica,now that we're dead
25485,sting,it's probably me
5638,r.e.m.,stand
16409,heartless bastards,late in the night
28206,arrested development,mr. wendal
21168,mighty diamonds,go seek your rights
10797,daryle singletary,hurts don't it
7049,lefty frizzell,i love you a thousand ways
9542,kenny rogers,what i learned from loving you
21681,the gladiators,war
23497,elvis presley,don't ask me why
28303,das efx,shine
9592,conway twitty,call it what you want to (it's still love)
21334,ub40,silent witness
21155,the abyssinians,there is no end
22518,soja,faith works
3733,salt-n-pepa,let's talk about sex
10841,marty robbins,cry stampede
17046,the magpie salute,in here
20681,melody gardot,he's a tramp
23093,demarco,puppy tail
27885,lil wayne,this what i call her
6637,kevin gates,hard for
1662,todd rundgren,intro
19635,bing crosby,do you hear what i hear?
6803,kendrick lamar,humble.
28217,nas,hero
24861,skinny puppy,assimilate
12642,ella fitzgerald,a fine romance
7467,claude king,little bitty heart
5004,the flaming lips,in the morning of the magicians
